angle_view,angle_bin,model,method_type,kernel_family,n,y_mean,y_std,R2_within_bin,RMSE,MAE,bias_y_minus_pred,coverage_95,mean_pred_std,rank_RMSE_within_angle_bin,rank_MAE_within_angle_bin,SSE,SSE_share_within_view_model
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_matern32,GPR,matern,36,47.94027777777778,2.720520418818125,0.8536997958194299,1.0260233105319558,0.4989116533280888,0.0926841148622124,1.0,3.6360813966908307,1.0,1.0,37.89805801517835,0.03287354059710111
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_matern32,GPR,matern,52,42.57557692307692,8.957614224882088,0.9607220534109839,1.7581266565785583,0.9310083770919793,0.1695701364378281,0.9807692307692307,3.079210999904535,1.0,1.0,160.7324857097492,0.13942260292430314
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_matern32,GPR,matern,41,38.25585365853659,15.24567610432705,0.9263046241049385,4.087943412254814,2.3293535120920175,-0.5474413061653808,0.8292682926829268,2.8603835762207805,6.0,5.0,685.1625350136989,0.5943238147285723
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_matern32,GPR,matern,24,46.0975,7.647964349789569,0.8300664585990365,3.0863395637310864,0.9949375432028122,-0.9136521241418207,1.0,4.48372269464443,4.0,2.0,228.611805663643,0.1983024953798544
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_matern32,GPR,matern,17,45.79352941176471,4.3814751242824475,0.8683445024507349,1.5423231606697378,0.9909600042081308,0.9186118317643147,1.0,4.777195432434924,4.0,4.0,40.438932442950936,0.03507754637016909
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,36,47.94027777777778,2.720520418818125,0.8147088839658648,1.1546811077961032,0.5562751434773983,0.10970416679885847,1.0,3.3792319146842362,4.0,4.0,47.9983845852445,0.0414036870002787
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,52,42.57557692307692,8.957614224882088,0.9562303170358221,1.8559337590203964,0.960315491366199,0.22914478812332872,0.9807692307692307,2.72646550815363,4.0,3.0,179.1134861293221,0.15450433970452834
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,41,38.25585365853659,15.24567610432705,0.9269418493163636,4.070231336591357,2.368876292601066,-0.5264698569825854,0.7804878048780488,2.672150509392367,4.0,6.0,679.2381084681808,0.5859147611880958
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,24,46.0975,7.647964349789569,0.8304442349834031,3.0829070603188664,1.1201055834376648,-0.9798545341674313,0.9583333333333334,4.261612312735644,3.0,4.0,228.10358262153397,0.19676348319038112
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,17,45.79352941176471,4.3814751242824475,0.9191799301309528,1.2084132866735655,0.7673816538507419,0.6519039657310268,1.0,4.6326495779103345,2.0,2.0,24.82446541395655,0.0214137289167159
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,36,47.94027777777778,2.720520418818125,0.8275570371694394,1.113928972224553,0.528103645790637,0.25841531697275794,1.0,3.8263472898526234,3.0,3.0,44.670159185804955,0.038220760993256574
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,52,42.57557692307692,8.957614224882088,0.9592580386549762,1.7905924018897306,0.9540222827471964,0.3476366992844373,1.0,3.131310546801783,2.0,2.0,166.72349978467219,0.14265225719755606
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,41,38.25585365853659,15.24567610432705,0.926305920437681,4.08790745777236,2.1691641974872016,-0.12677287552682415,0.7560975609756098,2.63863873830474,5.0,4.0,685.1504827157461,0.5862296737150303
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,24,46.0975,7.647964349789569,0.8416815152105996,2.978996303883843,1.083566064981089,-0.8667167815658122,1.0,4.456717296182007,2.0,3.0,212.98605548528633,0.1822355073269238
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,17,45.79352941176471,4.3814751242824475,0.8072305937739208,1.8662719805914063,1.1238972984461622,1.0287852096447576,1.0,5.011601944500264,5.0,5.0,59.2105087941897,0.050661800767233166
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_matern52,GPR,matern,36,47.94027777777778,2.720520418818125,0.8533716149942534,1.0271734543637083,0.5006138191729984,0.06269005820454687,1.0,3.5064794660016805,2.0,2.0,37.983070992581034,0.03243438017692186
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_matern52,GPR,matern,52,42.57557692307692,8.957614224882088,0.9564616287241314,1.8510231927322083,1.0369053540472914,0.276769710634382,0.9807692307692307,2.9743666576271974,3.0,5.0,178.16691672169196,0.1521397127954728
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_matern52,GPR,matern,41,38.25585365853659,15.24567610432705,0.9235020765029086,4.164947961232717,2.3997728885809777,-0.5545306354438393,0.8048780487804879,2.838453331818138,7.0,7.0,711.2184523108392,0.6073213425949002
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_matern52,GPR,matern,24,46.0975,7.647964349789569,0.8440768286746383,2.9563747316038196,0.9704131532881081,-0.8827930368775919,1.0,4.324652360499471,1.0,1.0,209.76363728797338,0.17912068143255083
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_matern52,GPR,matern,17,45.79352941176471,4.3814751242824475,0.8894954000060002,1.4130126809560213,0.9365893079408402,0.8593916544195052,1.0,4.701437047618968,3.0,3.0,33.94228222122289,0.02898388300015418
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_matern12,GPR,matern,36,47.94027777777778,2.720520418818125,0.7804831297137051,1.2568073525526076,0.5683608594337952,0.23219021845430415,1.0,4.107423452484886,6.0,5.0,56.8643299714906,0.04460989344084403
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_matern12,GPR,matern,52,42.57557692307692,8.957614224882088,0.9406339295895577,2.161448650762064,1.0267043985081925,0.15945141321574174,0.9807692307692307,3.5375414129683835,5.0,4.0,242.93673403381962,0.19058312695408125
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_matern12,GPR,matern,41,38.25585365853659,15.24567610432705,0.9452110647411418,3.5247732714426445,1.8323473588755657,-0.20803545405808802,0.8536585365853658,2.8285731644987493,2.0,3.0,509.38509121813576,0.399611050565237
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_matern12,GPR,matern,24,46.0975,7.647964349789569,0.7188817348438137,3.9696177057350717,1.2576450399637296,-1.145740354844,0.9583333333333334,4.870909214205851,5.0,5.0,378.188753512449,0.2966879237506953
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_matern12,GPR,matern,17,45.79352941176471,4.3814751242824475,0.7156918040042675,2.266473109770256,1.2238145635104312,1.163297723973886,1.0,4.9240054210523,7.0,7.0,87.32730607429814,0.0685080052891423
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,36,47.94027777777778,2.720520418818125,0.7874421985757829,1.2367254166152202,0.6644377919500855,0.43978100785385504,0.9722222222222222,2.292007730040785,5.0,6.0,55.061631219675235,0.02480513043115806
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,52,42.57557692307692,8.957614224882088,0.8767430149556034,3.114451278411541,1.2887384253232714,-0.004271124174372254,0.9230769230769231,2.422208554943097,6.0,7.0,504.3899518111626,0.22722644181981086
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,41,38.25585365853659,15.24567610432705,0.9278161653610846,4.0458029893048035,1.6047209905041255,-0.5479694088940882,0.6097560975609756,1.311709962511743,3.0,2.0,671.109394958975,0.3023331439113716
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,24,46.0975,7.647964349789569,0.27910088924145493,6.35684170411219,2.0532372326530415,-1.7368565406892638,1.0,1.832574354494466,8.0,6.0,969.8264748273593,0.4369044590725216
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,17,45.79352941176471,4.3814751242824475,0.9369039536725063,1.0677189589113023,0.5285240588827724,0.1903268737593084,1.0,2.435487110352007,1.0,1.0,19.3804041787168,0.008730824765137904
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_linear,GPR,linear,36,47.94027777777778,2.720520418818125,-0.4068211153675976,3.1816631699057245,2.2430348365931163,-0.513065823105902,1.0,5.303602579322,8.0,8.0,364.4272989624435,0.06192871693347755
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_linear,GPR,linear,52,42.57557692307692,8.957614224882088,0.41926323695456924,6.76029162441803,4.223925544781111,0.8756628518041034,0.9230769230769231,5.392687871301382,8.0,8.0,2376.4802280531812,0.4038456278114298
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_linear,GPR,linear,41,38.25585365853659,15.24567610432705,0.7961197534488011,6.799427247356009,4.277850142721291,-0.9462301372740888,0.8780487804878049,5.345950931198898,8.0,8.0,1895.52064657558,0.32211407295104666
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_linear,GPR,linear,24,46.0975,7.647964349789569,0.6258179394421336,4.579790723912654,2.8557788261732657,-0.6404388885028598,0.9583333333333334,5.50200703268701,7.0,8.0,503.3875937960734,0.085542844602413
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_linear,GPR,linear,17,45.79352941176471,4.3814751242824475,-1.424848363609986,6.619088284754656,4.961826438493394,1.7438092091778739,0.9411764705882353,5.736409645103306,8.0,8.0,744.8096052633978,0.12656873770163302
molecular_axis,"[10,30)",RF_current_residualPLS5,RF,randomForest+PLS,36,47.94027777777778,2.720520418818125,0.4802161273706339,1.9339540975541392,0.7785484452682717,0.21447587555596176,,,7.0,7.0,134.64642425207202,0.07767667514568731
molecular_axis,"[30,50)",RF_current_residualPLS5,RF,randomForest+PLS,52,42.57557692307692,8.957614224882088,0.8366913569895038,3.584927327047877,1.24052882277209,-0.5172608271156256,,,7.0,6.0,668.2886048911612,0.385531492232676
molecular_axis,"[50,70]",RF_current_residualPLS5,RF,randomForest+PLS,41,38.25585365853659,15.24567610432705,0.9568103817285509,3.129496275358778,1.593838404418342,0.29479500798287345,,,1.0,1.0,401.54362443686307,0.23164799099166647
molecular_axis,"[-30,-10)",RF_current_residualPLS5,RF,randomForest+PLS,24,46.0975,7.647964349789569,0.6642839709959101,4.338006423194485,2.092835269358388,-0.42719418813740395,,,6.0,7.0,451.6391934642386,0.26054780963291735
molecular_axis,"[-10,10)",RF_current_residualPLS5,RF,randomForest+PLS,17,45.79352941176471,4.3814751242824475,0.7483252002544689,2.132434728875148,1.151177764041706,0.9364049389898007,,,6.0,6.0,77.30372383951806,0.044596031997052935
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_matern32,GPR,matern,36,47.94027777777778,2.720520418818125,0.8536997958194299,1.0260233105319558,0.4989116533280888,0.0926841148622124,1.0,3.6360813966908307,1.0,1.0,37.89805801517835,0.032873540597101104
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_matern32,GPR,matern,51,42.49058823529412,9.025548052448606,0.9605382536662062,1.775258689684896,0.9480592711823946,0.17169086894678956,0.9803921568627451,3.0827675642743735,1.0,1.0,160.72871418038844,0.13941933142359705
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_matern32,GPR,matern,42,38.46190476190476,15.117698114573907,0.9268792219202544,4.038995356412343,2.275354923196512,-0.5329447803404719,0.8333333333333334,2.861275067668924,6.0,5.0,685.1663065430598,0.5943270862292784
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_matern32,GPR,matern,24,46.0975,7.647964349789569,0.8300664585990365,3.0863395637310864,0.9949375432028122,-0.9136521241418207,1.0,4.48372269464443,4.0,2.0,228.611805663643,0.19830249537985434
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_matern32,GPR,matern,17,45.79352941176471,4.3814751242824475,0.8683445024507349,1.5423231606697378,0.9909600042081308,0.9186118317643147,1.0,4.777195432434924,4.0,4.0,40.438932442950936,0.035077546370169084
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,36,47.94027777777778,2.720520418818125,0.8147088839658648,1.1546811077961032,0.5562751434773983,0.10970416679885847,1.0,3.3792319146842362,4.0,4.0,47.9983845852445,0.0414036870002787
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,51,42.49058823529412,9.025548052448606,0.956024583379401,1.8740383682166444,0.978717393415369,0.23321000971675618,0.9803921568627451,2.7358345976600362,4.0,3.0,179.11301008295328,0.15450392906414903
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,42,38.46190476190476,15.117698114573907,0.9275118269430437,4.021485701870196,2.3129939638929105,-0.513415372605416,0.7857142857142857,2.6620669721050936,4.0,6.0,679.2385845145498,0.5859151718284752
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,24,46.0975,7.647964349789569,0.8304442349834031,3.0829070603188664,1.1201055834376648,-0.9798545341674313,0.9583333333333334,4.261612312735644,3.0,4.0,228.10358262153397,0.19676348319038112
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,17,45.79352941176471,4.3814751242824475,0.9191799301309528,1.2084132866735655,0.7673816538507419,0.6519039657310268,1.0,4.6326495779103345,2.0,2.0,24.82446541395655,0.0214137289167159
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,36,47.94027777777778,2.720520418818125,0.8275570371694394,1.113928972224553,0.528103645790637,0.25841531697275794,1.0,3.8263472898526234,3.0,3.0,44.670159185804955,0.03822076099325658
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,51,42.49058823529412,9.025548052448606,0.9590664795908526,1.8080608618198404,0.9724433079716738,0.354738399197835,1.0,3.1255469048745113,2.0,2.0,166.7232880822799,0.14265207606037894
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,42,38.46190476190476,15.117698114573907,0.9268808880423489,4.038949340095817,2.11786385936367,-0.12410090221187231,0.7619047619047619,2.6573677275139755,5.0,4.0,685.1506944181383,0.5862298548522075
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,24,46.0975,7.647964349789569,0.8416815152105996,2.978996303883843,1.083566064981089,-0.8667167815658122,1.0,4.456717296182007,2.0,3.0,212.98605548528633,0.18223550732692387
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,17,45.79352941176471,4.3814751242824475,0.8072305937739208,1.8662719805914063,1.1238972984461622,1.0287852096447576,1.0,5.011601944500264,5.0,5.0,59.2105087941897,0.05066180076723317
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_matern52,GPR,matern,36,47.94027777777778,2.720520418818125,0.8533716149942534,1.0271734543637083,0.5006138191729984,0.06269005820454687,1.0,3.5064794660016805,2.0,2.0,37.983070992581034,0.03243438017692186
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_matern52,GPR,matern,51,42.49058823529412,9.025548052448606,0.9562630190869641,1.8689509234881707,1.0541327516564623,0.2790924877844762,0.9803921568627451,2.970373462385146,3.0,5.0,178.1418552747716,0.1521183124064059
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_matern52,GPR,matern,42,38.46190476190476,15.117698114573907,0.9240962688423278,4.11513904688344,2.346404678757135,-0.5375582851718532,0.8095238095238095,2.8465382433217976,7.0,7.0,711.2435137577595,0.6073427429839673
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_matern52,GPR,matern,24,46.0975,7.647964349789569,0.8440768286746383,2.9563747316038196,0.9704131532881081,-0.8827930368775919,1.0,4.324652360499471,1.0,1.0,209.76363728797338,0.17912068143255086
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_matern52,GPR,matern,17,45.79352941176471,4.3814751242824475,0.8894954000060002,1.4130126809560213,0.9365893079408402,0.8593916544195052,1.0,4.701437047618968,3.0,3.0,33.94228222122289,0.028983883000154184
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_matern12,GPR,matern,36,47.94027777777778,2.720520418818125,0.7804831297137051,1.2568073525526076,0.5683608594337952,0.23219021845430415,1.0,4.107423452484886,6.0,5.0,56.8643299714906,0.04460989344084403
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_matern12,GPR,matern,51,42.49058823529412,9.025548052448606,0.9403562208348827,2.1825091526024476,1.0453072284237266,0.1610492826353454,0.9803921568627451,3.540930899702579,5.0,4.0,242.93065626086616,0.19057835895973493
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_matern12,GPR,matern,42,38.46190476190476,15.117698114573907,0.9456379009477186,3.4825796712285717,1.7905762330170036,-0.2012260367515632,0.8571428571428571,2.841337555570789,2.0,3.0,509.3911689910893,0.3996158185595834
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_matern12,GPR,matern,24,46.0975,7.647964349789569,0.7188817348438137,3.9696177057350717,1.2576450399637296,-1.145740354844,0.9583333333333334,4.870909214205851,5.0,5.0,378.188753512449,0.2966879237506953
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_matern12,GPR,matern,17,45.79352941176471,4.3814751242824475,0.7156918040042675,2.266473109770256,1.2238145635104312,1.163297723973886,1.0,4.9240054210523,7.0,7.0,87.32730607429814,0.0685080052891423
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,36,47.94027777777778,2.720520418818125,0.7874421985757829,1.2367254166152202,0.6644377919500855,0.43978100785385504,0.9722222222222222,2.292007730040785,5.0,6.0,55.061631219675235,0.02480513043115806
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,51,42.49058823529412,9.025548052448606,0.8761670517655449,3.144789662990377,1.311594482616061,-0.0019415481113010402,0.9215686274509803,2.466935339494879,6.0,7.0,504.37480324700755,0.22721961742864433
C6_to_H6_direction,"[50,70]",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,42,38.46190476190476,15.117698114573907,0.9283777553826031,3.997393625622796,1.5694438122395276,-0.5378529825725862,0.6190476190476191,1.2838393096615164,3.0,2.0,671.12454352313,0.3023399683025381
C6_to_H6_direction,"[-30,-10)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,24,46.0975,7.647964349789569,0.27910088924145493,6.35684170411219,2.0532372326530415,-1.7368565406892638,1.0,1.832574354494466,8.0,6.0,969.8264748273593,0.4369044590725216
C6_to_H6_direction,"[-10,10)",base_cyclic_xproc_pca8_rbf_ard,GPR,rbf,17,45.79352941176471,4.3814751242824475,0.9369039536725063,1.0677189589113023,0.5285240588827724,0.1903268737593084,1.0,2.435487110352007,1.0,1.0,19.3804041787168,0.008730824765137904
C6_to_H6_direction,"[10,30)",base_cyclic_xproc_pca8_linear,GPR,linear,36,47.94027777777778,2.720520418818125,-0.4068211153675976,3.1816631699057245,2.2430348365931163,-0.513065823105902,1.0,5.303602579322,8.0,8.0,364.4272989624435,0.06192871693347753
C6_to_H6_direction,"[30,50)",base_cyclic_xproc_pca8_linear,GPR,linear,51,42.49058823529412,9.025548052448606,0.41658398346147063,6.825943209321047,4.297726034951792,0.8838111323085673,0.9215686274509803,5.389874515792897,8.0,8.0,2376.268535540682,0.40380965398147567
