feature,n_high_angle,n_high_angle_y_below_30,mean_y_below_30,mean_y_at_least_30,global_sd,standardized_mean_difference_low_minus_other,spearman_vs_y_within_high_angle,abs_standardized_mean_difference
O_H3_count_d5,41,9,7.333333333333333,0.96875,2.7614332149495344,2.304811609738549,-0.7544449058452345,2.304811609738549
sum_invd_LH3_d5,41,9,3.492187133461349,0.42179269671566577,1.427637305393052,2.150682407322183,-0.7441956929108003,2.150682407322183
Mg_H3_count_d5,41,9,6.666666666666667,0.90625,2.905334340425455,1.9827035348445012,-0.7368839547192289,1.9827035348445012
first_O_H3_d5,41,9,3.033333333333333,5.303125,1.1840145461637384,-1.9170302206344474,0.747095044757177,1.9170302206344474
first_Mg_H3_d5,41,9,3.138888888888889,5.387499999999999,1.197831642563432,-1.8772346890911538,0.7361911156682093,1.8772346890911538
top3_invd_LH3_d10,41,9,0.31792173820702535,0.1917653876490228,0.06800162739930102,1.8551960501948122,-0.6402717894483126,1.8551960501948122
O_H3_count_d7,41,9,23.666666666666668,8.5625,8.254102756909138,1.8298980654225137,-0.6526876795280928,1.8298980654225137
sum_invd_LH3_d7,41,9,8.79254352117597,2.92395835986229,3.229704390647332,1.8170657284635994,-0.6396968060325242,1.8170657284635994
max_invd_LH3_d10,41,9,0.3347573999122306,0.19695332631036505,0.07899388367867068,1.7444904236183836,-0.6390522241350777,1.7444904236183836
first_invd_LH3,41,9,0.3347573999122306,0.19695332631036505,0.07899563591525303,1.744451728317024,-0.6390522241350777,1.744451728317024
n_events_d5,41,9,30.0,9.625,11.702140721214302,1.7411344202230492,-0.8501905414615369,1.7411344202230492
sum_invd_LH3_d10,41,9,22.80420218105249,11.77616640074335,6.3527487379158005,1.7359471049892647,-0.6399233422159598,1.7359471049892647
Mg_count_sum_H3_H6_d5,41,9,15.0,4.625,6.015457522327273,1.724723341739449,-0.892591786854236,1.724723341739449
O_count_sum_H3_H6_d5,41,9,15.0,5.0,5.80273529125917,1.7233252075212344,-0.8436433586193943,1.7233252075212344
O_H3_count_d10,41,9,83.22222222222223,46.53125,21.33754137129363,1.7195501385920813,-0.6366215377414582,1.7195501385920813
invd_sum_total_H3_H6_d5,41,9,7.584348645636721,2.366316980310536,3.1693655447324858,1.646396287105033,-0.8410984328907287,1.646396287105033
Mg_count_sum_H3_H6_d10,41,9,168.88888888888889,113.4375,33.73723785728131,1.6436256318156508,-0.7678366297057124,1.6436256318156508
Mg_H3_count_d7,41,9,22.333333333333332,8.5,8.481484101984991,1.6310038628847756,-0.6574025432431597,1.6310038628847756
n_events_d10,41,9,334.0,226.59375,66.38685812814684,1.61788421727495,-0.7727578995947543,1.61788421727495
Mg_H3_count_d10,41,9,83.11111111111111,47.125,22.262076156702502,1.6164759682702228,-0.6434870951508262,1.6164759682702228
invd_sum_total_H3_H6_d10,41,9,46.258346590229706,29.540333695436473,10.3636320765121,1.613142262420002,-0.7823511484401763,1.613142262420002
top3_invd_LH3_d5,41,9,0.31792173820702535,0.09875997876522491,0.13758695162836787,1.5928963964095368,-0.7396437588909166,1.5928963964095368
O_count_sum_H3_H6_d10,41,9,165.11111111111111,113.15625,32.87767834534158,1.5802472597178556,-0.7653036397107805,1.5802472597178556
max_invd_LH3_d5,41,9,0.3347573999122306,0.10120295117516037,0.1484124866116338,1.5736846276838963,-0.742921151385233,1.5736846276838963
Mg_count_sum_H3_H6_d7,41,9,48.333333333333336,25.21875,14.688439707850728,1.5736581824262093,-0.7945826615555658,1.5736581824262093
invd_sum_total_H3_H6_d7,41,9,18.39169788258751,9.184716538261995,5.980139916518044,1.5395929648559648,-0.7854871735313517,1.5395929648559648
first_O_H3_d10,41,9,3.033333333333333,5.356249999999999,1.5152962109868082,-1.5329786016912892,0.6421513719459988,1.5329786016912892
n_events_d7,41,9,95.33333333333333,51.0625,28.920426854621855,1.5307807715244106,-0.7928378105644714,1.5307807715244106
first_Mg_H3_d10,41,9,3.138888888888889,5.46875,1.5378263394579588,-1.5150352489945793,0.6490402181625939,1.5150352489945793
top3_invd_LH3_d7,41,9,0.31792173820702535,0.17141236147210726,0.09726652486329794,1.5062672069432719,-0.6398711816100171,1.5062672069432719
first_O_H3_d7,41,9,3.033333333333333,5.4125,1.584929596972106,-1.5011182018506646,0.6421647618359416,1.5011182018506646
first_invd_LH3_d,41,9,3.0277777777777777,5.35,1.5512738273095148,-1.496977633052585,0.6422106005562237,1.496977633052585
max_invd_LH3_d7,41,9,0.3347573999122306,0.17626463875307385,0.10715430687078194,1.4791077072644794,-0.6386505525675671,1.4791077072644794
first_Mg_H3_d7,41,9,3.138888888888889,5.515625,1.6073961059923425,-1.4786250273039008,0.648647886658796,1.4786250273039008
O_count_sum_H3_H6_d7,41,9,47.0,25.84375,14.399478129925447,1.469237274372633,-0.7825972148945504,1.469237274372633
Mg_H6_count_d5,41,9,8.333333333333334,3.71875,3.874775854424707,1.1909291031799483,-0.8595484271406094,1.1909291031799483
first_Mg_H6_d5,41,9,2.7888888888888888,4.207812499999999,1.2031288612343731,-1.179361294396461,0.8442286869103173,1.179361294396461
Mg_H6_count_d10,41,9,85.77777777777777,66.3125,16.72924370222965,1.163547983653527,-0.8131176652679277,1.163547983653527
first_Mg_H6_d10,41,9,2.7888888888888888,3.9875000000000007,1.0302043515328208,-1.1634692760982053,0.8402541296695564,1.1634692760982053
first_Mg_H6_d7,41,9,2.7888888888888888,3.9875000000000007,1.0302043515328208,-1.1634692760982053,0.8402541296695564,1.1634692760982053
first_O_H3_d3,41,9,3.605555555555556,4.0,0.3397015540744328,-1.1611499556402274,0.37045995706397206,1.1611499556402274
first_invd_LH6_d,41,9,2.7888888888888888,3.9796875000000003,1.0597880922886938,-1.123619542223286,0.8268653251822439,1.123619542223286
Mg_H6_count_d7,41,9,26.0,16.71875,8.418698628610807,1.1024566158548337,-0.7556012856860638,1.1024566158548337
top3_invd_LH3_d3,41,9,0.12001673251920567,0.0,0.11222570019322671,1.0694228889867883,-0.3705737309949767,1.0694228889867883
O_count_diff_H3_H6_d10,41,9,1.3333333333333333,-20.09375,20.324513121435164,1.0542482963951223,-0.11269226622553712,1.0542482963951223
O_count_diff_H3_H6_d7,41,9,0.3333333333333333,-8.71875,8.71376640874112,1.0388255673520046,-0.05747715735217424,1.0388255673520046
top3_invd_LH6_d5,41,9,0.3466558735872954,0.21763116429998608,0.12615248841853838,1.0227678494873735,-0.8184534750821323,1.0227678494873735
max_invd_LH3_d3,41,9,0.1208434244672168,0.0,0.1194230930496839,1.0118932727436727,-0.3705737309949767,1.0118932727436727
sum_invd_LH6_d10,41,9,23.454144409177225,17.764167294693124,5.664032953543478,1.0045805102395091,-0.8110980451092842,1.0045805102395091
max_invd_LH6_d5,41,9,0.3761719968925746,0.2274971526942019,0.1482990793569735,1.0025338312485046,-0.8367268194141658,1.0025338312485046
first_O_H6_d5,41,9,3.0999999999999996,4.3046875,1.2048033362385275,-0.9999038546499308,0.8171821580238918,0.9999038546499308
Mg_H3_count_d3,41,9,0.3333333333333333,0.0,0.3379366559459815,0.986378149479635,-0.3720491618656994,0.986378149479635
sum_invd_LH6_d5,41,9,4.092161512175371,1.9445242835948704,2.1813375215004305,0.9845506288743665,-0.8416230265079163,0.9845506288743665
first_Mg_H3_d3,41,9,3.605555555555556,4.0,0.4080260948979208,-0.9667137699688676,0.3705737309949767,0.9667137699688676
first_O_H6_d10,41,9,3.0999999999999996,4.1171875,1.0530202860997957,-0.9659714190003749,0.8171821580238918,0.9659714190003749
first_O_H6_d7,41,9,3.0999999999999996,4.1171875,1.0530202860997957,-0.9659714190003749,0.8171821580238918,0.9659714190003749
O_H6_count_d5,41,9,7.666666666666667,4.03125,3.886019637769542,0.9355116560227386,-0.790306780352004,0.9355116560227386
sum_invd_LH6_d7,41,9,9.599154361411536,6.260758178399701,3.6774836059157034,0.9077936275886034,-0.8055228893916391,0.9077936275886034
O_H6_count_d10,41,9,81.88888888888889,66.625,17.079903738894405,0.8936753463153259,-0.80971055541025,0.8936753463153259
invd_sum_diff_H3_H6_d10,41,9,-0.6499422281247296,-5.988000893949778,6.121478729402237,0.8720211082635438,-0.06515963244997794,0.8720211082635438
sum_invd_LH3_d3,41,9,0.24003346503841122,0.0,0.2791335111703842,0.8599234969386884,-0.3705737309949767,0.8599234969386884
top3_invd_LH6_d10,41,9,0.3466558735872954,0.26572482724346363,0.09558420915224135,0.846698916710491,-0.8110980451092842,0.846698916710491
top3_invd_LH6_d7,41,9,0.3466558735872954,0.26572482724346363,0.09558420915224135,0.846698916710491,-0.8110980451092842,0.846698916710491
max_invd_LH6_d10,41,9,0.3761719968925746,0.2765324130192732,0.11895987156048889,0.8375898743521799,-0.8293044129997191,0.8375898743521799
max_invd_LH6_d7,41,9,0.3761719968925746,0.2765324130192732,0.11895987156048889,0.8375898743521799,-0.8293044129997191,0.8375898743521799
first_invd_LH6,41,9,0.3761719968925746,0.2765324130192732,0.11896525388953941,0.8375519793856603,-0.8293044129997191,0.8375519793856603
Mg_count_diff_H3_H6_d10,41,9,-2.6666666666666665,-19.1875,20.31585688746724,0.8131989423259306,0.32098621021187257,0.8131989423259306
first_invd_d_diff,41,9,-0.23888888888888887,-1.3703124999999998,1.4027518824501248,0.8065742953307631,0.1111767419118394,0.8065742953307631
O_count_diff_H3_H6_d5,41,9,-0.3333333333333333,-3.0625,3.4324316731858557,0.7951117244334117,0.06726918100110693,0.7951117244334117
O_H3_count_d3,41,9,0.3333333333333333,0.0,0.4274353862256165,0.779844963882769,-0.3720491618656994,0.779844963882769
O_count_sum_H3_H6_d3,41,9,1.0,0.25,1.0181950684199377,0.7365975570514892,-0.357244523274224,0.7365975570514892
invd_sum_diff_H3_H6_d7,41,9,-0.8066108402355778,-3.3367998185374086,3.4853520373641516,0.7259493305632687,0.02604643061837354,0.7259493305632687
n_events_d3,41,9,2.0,0.53125,2.0782131069899306,0.70673695352029,-0.40484254220769983,0.70673695352029
O_H6_count_d7,41,9,23.333333333333332,17.28125,8.573630234535317,0.7058950721894935,-0.787396153741255,0.7058950721894935
top3_invd_diff_H3_H6_d5,41,9,-0.028734135380270323,-0.11887118553476123,0.13199500683640447,0.6828822719499336,-0.002797832625000345,0.6828822719499336
top3_invd_diff_H3_H6_d7,41,9,-0.028734135380270323,-0.09431246577135649,0.1008076842902289,0.6505290827064714,0.02839844943675509,0.6505290827064714
invd_sum_total_H3_H6_d3,41,9,0.7916084285981133,0.23417313795163203,0.8668657089518296,0.6430468812989546,-0.40357796174812094,0.6430468812989546
Mg_count_sum_H3_H6_d3,41,9,1.0,0.28125,1.1349738677491092,0.633274492412263,-0.4066287967108021,0.633274492412263
first_invd_ratio,41,9,1.113750545987897,1.458085073008259,0.5543462971659809,-0.6211541932916752,-0.09477764719996792,0.6211541932916752
max_invd_diff_H3_H6_d5,41,9,-0.04141459698034401,-0.12629420151904155,0.14438869784925518,0.5878549069492518,0.04397843157422418,0.5878549069492518
Mg_count_diff_H3_H6_d7,41,9,-3.6666666666666665,-8.21875,8.35881913263047,0.5445844994496035,0.2361296407109381,0.5445844994496035
top3_invd_diff_H3_H6_d10,41,9,-0.028734135380270323,-0.073959439594441,0.08730035252030788,0.518042629938411,0.0930354110382038,0.518042629938411
O_H6_count_d3,41,9,0.6666666666666666,0.25,0.8059990870761331,0.5169567476536224,-0.3396707179754081,0.5169567476536224
max_invd_diff_H3_H6_d7,41,9,-0.04141459698034401,-0.10026777426619932,0.11538324624053488,0.5100669222216753,0.06446273798527229,0.5100669222216753
invd_sum_diff_H3_H6_d5,41,9,-0.5999743787140227,-1.5227315868792053,1.8835831175644222,0.489894605425408,0.07720269399610329,0.489894605425408
sum_invd_LH6_d3,41,9,0.5515749635597011,0.23417313795163203,0.7283524279730704,0.435780555426122,-0.39034984023671054,0.435780555426122
first_Mg_H6_d3,41,9,3.3499999999999996,3.690625,0.7996207876907685,-0.42598317257820917,0.3906646984884227,0.42598317257820917
Mg_H6_count_d3,41,9,0.6666666666666666,0.28125,0.9570665239997408,0.4027062455971671,-0.39560093680146896,0.4027062455971671
max_invd_diff_H3_H6_d10,41,9,-0.04141459698034401,-0.07957908670890813,0.10507304689590694,0.3632186450857627,0.14460560142642162,0.3632186450857627
first_invd_diff,41,9,0.04141459698034401,0.07957908670890813,0.1050796878850155,-0.3631956898304266,-0.14460560142642162,0.3631956898304266
first_O_H6_d3,41,9,3.4833333333333334,3.7828125,0.8436120296239731,-0.3549963207615172,0.34319164682990827,0.3549963207615172
Mg_count_diff_H3_H6_d5,41,9,-1.6666666666666667,-2.8125,3.274749135499159,0.34989957579107134,0.48960928513320445,0.34989957579107134
max_invd_LH6_d3,41,9,0.16414587772012876,0.0846957290710844,0.23007188362068184,0.34532750112149013,-0.39107137413733295,0.34532750112149013
top3_invd_LH6_d3,41,9,0.14544020432316898,0.08007169573294601,0.20678080270318866,0.31612464859251155,-0.39034984023671054,0.31612464859251155
top3_invd_diff_H3_H6_d3,41,9,-0.02542347180396347,-0.08007169573294601,0.19659043258679915,0.27798007873477826,0.35956439381015537,0.27798007873477826
first_invd_LH3_atomMg,41,9,0.2222222222222222,0.09375,0.5013382716811872,0.25625855730384123,-0.0818958694562812,0.25625855730384123
first_invd_LH3_atomO,41,9,0.7777777777777778,0.90625,0.5013382716811872,-0.25625855730384123,0.0818958694562812,0.25625855730384123
max_invd_diff_H3_H6_d3,41,9,-0.043302453252912,-0.0846957290710844,0.2153563812542735,0.19220826230962215,0.36028592771077783,0.19220826230962215
first_invd_LH6_atomO,41,9,0.0,0.0625,0.5013382716811872,-0.12466632517484168,0.12440875649988122,0.12466632517484168
invd_sum_diff_H3_H6_d3,41,9,-0.3115414985212902,-0.23417313795163203,0.6821798849486769,-0.11341342991296044,0.3706279136196987,0.11341342991296044
O_count_diff_H3_H6_d3,41,9,-0.3333333333333333,-0.25,0.7924328855973373,-0.10516137687864444,0.3191916615772303,0.10516137687864444
Mg_count_diff_H3_H6_d3,41,9,-0.3333333333333333,-0.28125,0.8787430506766047,-0.05927026483251364,0.3727986870132781,0.05927026483251364
